feature,importance_mean,importance_std
aud_duration_audio,1.5580553547845524,0.1434242510461219
ethnicity_english,0.6969873325473268,0.1249344825668604
silence_duration,0.3686157828681572,0.0646612913468741
jitter,0.1787144863467277,0.081952569015677
aud_mfcc_delta2_5_std,0.173736629312147,0.0701381720240761
aud_mfcc_delta_5_std,0.1146977003673203,0.0575921370563495
num_pauses,0.111811049377029,0.0382106441362215
aud_mfcc_6_mean,0.0966244377299624,0.0281977965541151
aud_mfcc_delta2_7_std,0.0692451745413363,0.0348137886889579
aud_f0_iqr,0.0681958145995183,0.026940472920501
hnr,0.0628844202341047,0.0196581806774393
jitter_shimmer_ratio,0.0604231751796636,0.0376956207064398
aud_mfcc_3_std,0.0597476879794761,0.0401436746185233
aud_mfcc_8_std,0.0596014709490342,0.0482060708025337
gender,0.0593408418472286,0.0120217156319039
aud_f0_p75,0.0593218236427818,0.0279589334349863
shimmer,0.0572881448690157,0.0542268949322857
aud_mfcc_7_mean,0.055804536306562,0.0269849501151737
aud_mfcc_13_mean,0.0500543280937026,0.0147003481929112
aud_mfcc_3_mean,0.0441728839256311,0.010124325175556
