feature,importance_mean,importance_std
aud_duration_audio,1.5580553547845524,0.14342425104612197
ethnicity_english,0.6969873325473268,0.12493448256686046
silence_duration,0.36861578286815727,0.06466129134687416
jitter,0.17871448634672776,0.08195256901567702
aud_mfcc_delta2_5_std,0.173736629312147,0.07013817202407618
aud_mfcc_delta_5_std,0.11469770036732037,0.057592137056349524
num_pauses,0.11181104937702901,0.03821064413622158
aud_mfcc_6_mean,0.0966244377299624,0.028197796554115178
aud_mfcc_delta2_7_std,0.06924517454133632,0.0348137886889579
aud_f0_iqr,0.06819581459951837,0.026940472920501023
hnr,0.06288442023410479,0.019658180677439394
jitter_shimmer_ratio,0.0604231751796636,0.03769562070643985
aud_mfcc_3_std,0.05974768797947618,0.04014367461852333
aud_mfcc_8_std,0.05960147094903423,0.04820607080253379
gender,0.05934084184722863,0.012021715631903938
aud_f0_p75,0.0593218236427818,0.027958933434986306
shimmer,0.05728814486901577,0.05422689493228579
aud_mfcc_7_mean,0.055804536306562014,0.026984950115173753
aud_mfcc_13_mean,0.050054328093702694,0.014700348192911225
aud_mfcc_3_mean,0.04417288392563119,0.010124325175556071
mean_pitch,0.041455714798816955,0.0202888453170319
aud_mfcc_4_mean,0.04138502950578662,0.019253144242756776
aud_mfcc_5_mean,0.038084938043091474,0.009442680310476221
aud_mfcc_delta_7_std,0.03592770020429601,0.021134484186430755
min_pitch,0.03540382614471813,0.008287826627899553
aud_mfcc_delta2_9_std,0.03321036420745731,0.023528911695804372
aud_mfcc_delta_12_std,0.0287297549964169,0.016255456296088502
aud_mfcc_10_std,0.027805752455191523,0.01689687282608609
aud_mfcc_delta_4_std,0.027363152147540502,0.016628882174651995
ethnicity_arabic,0.025285517578176632,0.010486787168183047
aud_mfcc_11_std,0.02451197114448487,0.01317035059521527
aud_mfcc_delta2_2_std,0.020976489288552537,0.015322817844510011
aud_mfcc_8_mean,0.020333225606475658,0.03429228794373934
aud_spectral_bandwidth_mean,0.019939796403797415,0.006667911793956026
aud_mfcc_delta_1_std,0.01993598477331293,0.017993748107463552
aud_f0_mean,0.01978818549092818,0.006263663253023697
aud_mfcc_delta_3_std,0.01964954087979205,0.010516044332065431
aud_spectral_centroid_p25,0.019310536574969284,0.006596043103003583
aud_mfcc_delta2_3_std,0.019192114648367918,0.012130347457250123
aud_mfcc_11_mean,0.0190303127529031,0.015323349101374402
aud_f0_std,0.01797001490964565,0.008348138073661858
aud_mfcc_delta2_6_std,0.017628155359595256,0.014532096976626595
aud_mfcc_7_std,0.016257147118933446,0.004875151611558467
aud_rms_mean,0.015718029347162422,0.01765408623649281
aud_rms_p25,0.015527591906071692,0.012257034649053108
aud_spectral_rolloff_p75,0.015427452077240212,0.010445637557851018
aud_mfcc_delta2_2_mean,0.015001638125854555,0.01601001239051843
aud_mfcc_9_std,0.014695923690714352,0.012771358707518053
aud_mfcc_delta_8_mean,0.013340980491656574,0.010102424088382786
aud_mfcc_delta_10_std,0.013234001022544462,0.012730462828159298
aud_mfcc_delta_12_mean,0.01252782910269019,0.0054168657922124535
pitch_range,0.012445748244005194,0.012349073154476036
aud_spectral_rolloff_std,0.012214029274939798,0.012239670942951543
aud_mfcc_delta_9_mean,0.012143342466399254,0.004279752987107152
silence_per_pause,0.011666766864814803,0.008403035282499973
aud_mfcc_delta2_12_std,0.011125263573979716,0.011481251668773711
aud_mfcc_delta2_1_mean,0.010968918609284728,0.006163787266148893
aud_spectral_bandwidth_p25,0.010968743719078055,0.00611496676620699
aud_spectral_bandwidth_iqr,0.010733903541233403,0.007861611616178942
aud_spectral_centroid_iqr,0.010478484808989918,0.010396653369206216
aud_f0_p25,0.009666039687634864,0.014509980511939911
aud_spectral_rolloff_p25,0.00904519584476553,0.0044744473168347185
zcr_mean,0.008563436800739944,0.017786709225410872
aud_spectral_rolloff_iqr,0.008189672003580206,0.008839161325651842
aud_mfcc_delta2_3_mean,0.007634832512832012,0.00838711082155099
aud_zcr_p25,0.00761190713862554,0.008586617135779599
aud_spectral_centroid_mean,0.007528631725213586,0.0032223167696737664
aud_mfcc_delta_6_mean,0.007254058073151981,0.004835589551406176
aud_mfcc_delta2_9_mean,0.007213186441394725,0.009859954395218144
aud_mfcc_delta2_4_mean,0.0067745666612522015,0.009541817166219933
aud_mfcc_delta_9_std,0.006753416811314139,0.005227708926228939
aud_mfcc_2_std,0.006231267603624602,0.007742998219168695
aud_mfcc_delta2_12_mean,0.005939003588093783,0.009746486365127796
energy,0.005851256920088766,0.0034020619925616154
aud_zcr_p75,0.005786282583341773,0.016253284812003853
aud_rms_p75,0.0054659927257130645,0.0043816765287273155
aud_mfcc_delta2_5_mean,0.005302518747990703,0.008270445808199016
aud_spectral_rolloff_mean,0.004974293412661623,0.002678253116602083
aud_spectral_bandwidth_p75,0.00419769229270397,0.0072449992459095395
aud_mfcc_delta_13_std,0.003793928984539008,0.004143118464817209
aud_mfcc_6_std,0.0037850959524178053,0.011669422210775255
aud_mfcc_1_std,0.0035553476704173193,0.00785258508192377
aud_mfcc_delta_5_mean,0.003448495208211533,0.012622611974596772
aud_mfcc_1_mean,0.0034182778690203365,0.004715116523403261
aud_mfcc_delta2_7_mean,0.0033149703267097764,0.014776608706563521
aud_f0_range,0.0031530305590646178,0.0020457292402108157
aud_mfcc_9_mean,0.0020048633902412403,0.015215072036415719
aud_mfcc_10_mean,0.0018323670517919055,0.011068005249679814
pitch_position,0.0012479663653595097,0.01059193401283205
aud_mfcc_12_mean,0.001191720174934474,0.009668001629445915
aud_mfcc_12_std,0.0010885160944102523,0.0052544349579610825
aud_zcr_mean,0.0008203910873765708,0.007954405426195497
num_characters,0.00047163270252319477,0.0009475368840486701
ethnicity_igbo,0.00012684963315106045,0.0003583554150676693
chars_per_word,2.2062401949440867e-05,0.00033692514092871793
ethnicity_dutch,0.0,0.0
ethnicity_faroese,0.0,0.0
ethnicity_fanti,0.0,0.0
ethnicity_dinka,0.0,0.0
ethnicity_agni,0.0,0.0
ethnicity_amharic,0.0,0.0
ethnicity_albanian,0.0,0.0
ethnicity_akan,0.0,0.0
ethnicity_kurdish,0.0,0.0
ethnicity_lamaholot,0.0,0.0
ethnicity_lamotrekese,0.0,0.0
ethnicity_lao,0.0,0.0
ethnicity_latvian,0.0,0.0
ethnicity_lingala,0.0,0.0
ethnicity_lithuanian,0.0,0.0
ethnicity_ika,0.0,0.0
ethnicity_ikwerre,0.0,0.0
ethnicity_ilonggo,0.0,0.0
ethnicity_indian,0.0,0.0
ethnicity_indonesian,0.0,0.0
ethnicity_irish,0.0,0.0
ethnicity_italian,0.0,0.0
ethnicity_japanese,0.0,0.0
ethnicity_jola,0.0,0.0
ethnicity_kabyle,0.0,0.0
ethnicity_kaire-kaire,0.0,0.0
ethnicity_kalanga,0.0,0.0
ethnicity_kambaata,0.0,0.0
ethnicity_kannada,0.0,0.0
ethnicity_kanuri,0.0,0.0
ethnicity_kazakh,0.0,0.0
ethnicity_khmer,0.0,0.0
ethnicity_kikongo,0.0,0.0
ethnicity_kikuyu,0.0,0.0
ethnicity_kirghiz,0.0,0.0
ethnicity_fang,0.0,0.0
ethnicity_ewe,0.0,0.0
ethnicity_estonian,0.0,0.0
ethnicity_edo,0.0,0.0
ethnicity_amazigh,0.0,0.0
ethnicity_ganda,0.0,0.0
ethnicity_garifuna,0.0,0.0
ethnicity_gedeo,0.0,0.0
ethnicity_georgian,0.0,0.0
ethnicity_german,0.0,0.0
ethnicity_greek,0.0,0.0
ethnicity_gujarati,0.0,0.0
ethnicity_farsi,0.0,0.0
ethnicity_fataluku,0.0,0.0
ethnicity_fijian,0.0,0.0
ethnicity_filipino,0.0,0.0
ethnicity_finnish,0.0,0.0
ethnicity_french,0.0,0.0
ethnicity_frisian,0.0,0.0
ethnicity_ga,0.0,0.0
ethnicity_gan,0.0,0.0
ethnicity_hadiyya,0.0,0.0
ethnicity_hainanese,0.0,0.0
ethnicity_hakka,0.0,0.0
ethnicity_hausa,0.0,0.0
ethnicity_hebrew,0.0,0.0
ethnicity_hindi,0.0,0.0
ethnicity_hindko,0.0,0.0
ethnicity_gusii,0.0,0.0
ethnicity_hmong,0.0,0.0
ethnicity_ijaw,0.0,0.0
ethnicity_igala,0.0,0.0
ethnicity_ife,0.0,0.0
ethnicity_ibibio,0.0,0.0
ethnicity_icelandic,0.0,0.0
ethnicity_hungarian,0.0,0.0
ethnicity_ebira,0.0,0.0
sampling_rate,0.0,0.0
ethnicity_bengali,0.0,0.0
ethnicity_bavarian,0.0,0.0
ethnicity_belarusan,0.0,0.0
ethnicity_bari,0.0,0.0
ethnicity_bamun,0.0,0.0
ethnicity_bambara,0.0,0.0
ethnicity_bosnian,0.0,0.0
ethnicity_moba,0.0,0.0
ethnicity_newari,0.0,0.0
ethnicity_naxi,0.0,0.0
ethnicity_nepali,0.0,0.0
ethnicity_nama,0.0,0.0
ethnicity_mortlockese,0.0,0.0
ethnicity_moore,0.0,0.0
ethnicity_nandi,0.0,0.0
ethnicity_mandinka,0.0,0.0
ethnicity_mandingo,0.0,0.0
ethnicity_maltese,0.0,0.0
ethnicity_malayalam,0.0,0.0
ethnicity_malay,0.0,0.0
ethnicity_malagasy,0.0,0.0
ethnicity_macedonian,0.0,0.0
ethnicity_luxembourgeois,0.0,0.0
ethnicity_luo,0.0,0.0
ethnicity_mizo,0.0,0.0
ethnicity_miskito,0.0,0.0
ethnicity_mende,0.0,0.0
ethnicity_mauritian,0.0,0.0
ethnicity_marathi,0.0,0.0
ethnicity_mankanya,0.0,0.0
ethnicity_mongolian,0.0,0.0
ethnicity_kru,0.0,0.0
ethnicity_krio,0.0,0.0
ethnicity_korean,0.0,0.0
ethnicity_konkani,0.0,0.0
ethnicity_kiswahili,0.0,0.0
ethnicity_tiv,0.0,0.0
ethnicity_sarua,0.0,0.0
ethnicity_satawalese,0.0,0.0
ethnicity_rwanda,0.0,0.0
ethnicity_russian,0.0,0.0
ethnicity_rundi,0.0,0.0
ethnicity_rotuman,0.0,0.0
ethnicity_pulaar,0.0,0.0
ethnicity_punjabi,0.0,0.0
ethnicity_quechua,0.0,0.0
ethnicity_romanian,0.0,0.0
ethnicity_papiamentu,0.0,0.0
ethnicity_ukwani,0.0,0.0
ethnicity_urhobo,0.0,0.0
ethnicity_yoruba,0.0,0.0
ethnicity_sa'a,0.0,0.0
ethnicity_sardinian,0.0,0.0
ethnicity_ngemba,0.0,0.0
ethnicity_nigerian,0.0,0.0
ethnicity_pashto,0.0,0.0
ethnicity_pohnpeian,0.0,0.0
ethnicity_polish,0.0,0.0
ethnicity_portuguese,0.0,0.0
ethnicity_obudu,0.0,0.0
ethnicity_oriya,0.0,0.0
ethnicity_norwegian,0.0,0.0
ethnicity_nuer,0.0,0.0
ethnicity_bai,0.0,0.0
ethnicity_danish,0.0,0.0
ethnicity_czech,0.0,0.0
ethnicity_croatian,0.0,0.0
ethnicity_congolese,0.0,0.0
ethnicity_chittagonian,0.0,0.0
ethnicity_chichewa,0.0,0.0
ethnicity_basque,0.0,0.0
ethnicity_bafang,0.0,0.0
ethnicity_annang,0.0,0.0
ethnicity_armenian,0.0,0.0
ethnicity_ashanti,0.0,0.0
ethnicity_baga,0.0,0.0
ethnicity_azerbaijani,0.0,0.0
ethnicity_oromo,0.0,0.0
ethnicity_bulgarian,0.0,0.0
ethnicity_dari,0.0,0.0
ethnicity_burmese,0.0,0.0
ethnicity_cameroonian,0.0,0.0
ethnicity_cantonese,0.0,0.0
ethnicity_carolinian,0.0,0.0
ethnicity_catalan,0.0,0.0
ethnicity_cebuano,0.0,0.0
ethnicity_chaldean,0.0,0.0
ethnicity_chamorro,0.0,0.0
aud_sampling_rate_audio,-0.00011293792056417118,0.0008148397322228857
max_pitch,-0.0003651550948816862,0.010894775146223577
num_words,-0.0004875036861344384,0.00036272362319662106
aud_mfcc_delta2_8_mean,-0.0005723262529345518,0.01920029091707324
aud_mfcc_delta2_10_mean,-0.0014576410981529619,0.0072435506397665736
aud_rms_iqr,-0.002390103324166226,0.011109667895913607
spectral_centroid_mean,-0.002497970181059017,0.00638892601737279
aud_mfcc_delta_2_std,-0.0025323701169856607,0.006130816732794217
aud_mfcc_delta2_6_mean,-0.0026432373292946563,0.0038943010517235844
aud_mfcc_delta_7_mean,-0.0027168519410382787,0.005643625596246305
ethnicity_mandarin,-0.0027755997282937982,0.0042657482025629705
aud_spectral_bandwidth_std,-0.002853674921791338,0.010789889951995583
aud_mfcc_13_std,-0.0031586355648261844,0.007075003759145647
aud_mfcc_delta_3_mean,-0.003277518789664313,0.00465278013242721
aud_mfcc_delta_11_mean,-0.0034369169139985443,0.01864229029416023
aud_mfcc_delta_2_mean,-0.003722902166954789,0.004270966348604914
aud_mfcc_4_std,-0.004001465907052193,0.008935968659995651
aud_rms_std,-0.004521371723684453,0.005010446589613425
aud_mfcc_delta_1_mean,-0.004815866874994334,0.005434543364884068
aud_mfcc_delta_6_std,-0.0050198877549251005,0.025297386838762922
aud_zcr_iqr,-0.005540269497237382,0.003941180520708388
aud_mfcc_delta_11_std,-0.006631381702819539,0.004459908392609443
aud_mfcc_delta_10_mean,-0.006959458863776469,0.009208854158780271
aud_mfcc_delta2_8_std,-0.007324405232306042,0.01650606442871068
aud_spectral_centroid_p75,-0.00799614554289807,0.010089032191379807
aud_mfcc_delta2_11_std,-0.008553210132426515,0.012444591858629941
aud_spectral_centroid_std,-0.008678657312968241,0.011430024098637645
aud_mfcc_delta2_13_mean,-0.00986322476485455,0.018207423432830157
aud_mfcc_2_mean,-0.011141281116154644,0.007176134428471028
aud_mfcc_delta_8_std,-0.011205979577868064,0.017956255624091696
aud_mfcc_delta2_1_std,-0.011213255055014137,0.03755290154386942
aud_zcr_std,-0.011454117811074837,0.01904382379157694
aud_mfcc_delta_4_mean,-0.011608254752343861,0.01648300309719581
aud_mfcc_delta_13_mean,-0.013326362781669588,0.009045417512681541
aud_mfcc_5_std,-0.0134686324934707,0.00662668216687762
aud_mfcc_delta2_13_std,-0.013543712944757934,0.01401178581205311
aud_mfcc_delta2_10_std,-0.014227723763125154,0.007402650673139381
aud_mfcc_delta2_11_mean,-0.015049682615336301,0.009334252347729612
aud_mfcc_delta2_4_std,-0.08234343360268337,0.033472367638684185
